,CONTRACTOR,STATUS,SUM
1918,"Acme, Inc",OK,584
1919,"Acme, Inc",WAITING,678
1920,"Acme, Inc",CANCELED,474
1921,"Umbrella, Inc",CANCELED,189
1922,"Acme, Inc",CANCELED,769
1923,"Umbrella, Inc",CANCELED,971
1924,"Acme, Inc",WAITING,774
1925,"Acme, Inc",OK,273
1926,"Acme, Inc",WAITING,921
1927,"Acme, Inc",CANCELED,115
1928,"Umbrella, Inc",OK,533
1929,"Umbrella, Inc",WAITING,850
1930,"Umbrella, Inc",CANCELED,448
1931,"Umbrella, Inc",OK,889
1932,"Acme, Inc",CANCELED,511
1933,"Umbrella, Inc",OK,339
1934,"Umbrella, Inc",OK,456
1935,"Umbrella, Inc",OK,962
1936,"Acme, Inc",OK,738
1937,"Acme, Inc",WAITING,276
1938,"Acme, Inc",OK,309
1939,"Acme, Inc",WAITING,696
1940,"Umbrella, Inc",WAITING,212
1941,"Umbrella, Inc",CANCELED,842
1942,"Umbrella, Inc",OK,647
1943,"Umbrella, Inc",WAITING,107
1944,"Acme, Inc",OK,216
1945,"Acme, Inc",WAITING,455
1946,"Acme, Inc",OK,615
1947,"Umbrella, Inc",CANCELED,374
1948,"Umbrella, Inc",WAITING,205
1949,"Acme, Inc",WAITING,615
1950,"Acme, Inc",WAITING,418
1951,"Acme, Inc",CANCELED,157
1952,"Acme, Inc",WAITING,728
1953,"Umbrella, Inc",OK,884
1954,"Acme, Inc",WAITING,869
1955,"Umbrella, Inc",WAITING,329
1956,"Umbrella, Inc",OK,442
1957,"Acme, Inc",WAITING,143
1958,"Acme, Inc",WAITING,554
1959,"Umbrella, Inc",OK,288
1960,"Umbrella, Inc",OK,442
1961,"Acme, Inc",CANCELED,151
1962,"Acme, Inc",OK,656
1963,"Umbrella, Inc",OK,612
1964,"Umbrella, Inc",CANCELED,802
1965,"Acme, Inc",WAITING,832
1966,"Acme, Inc",WAITING,213
1967,"Umbrella, Inc",WAITING,235
1968,"Acme, Inc",OK,132
1969,"Umbrella, Inc",WAITING,562
1970,"Acme, Inc",OK,943
1971,"Umbrella, Inc",CANCELED,781
1972,"Acme, Inc",OK,380
1973,"Umbrella, Inc",CANCELED,152
1974,"Umbrella, Inc",OK,882
1975,"Acme, Inc",OK,961
1976,"Umbrella, Inc",CANCELED,763
1977,"Acme, Inc",CANCELED,107
1978,"Acme, Inc",OK,861
1979,"Umbrella, Inc",CANCELED,113
1980,"Acme, Inc",CANCELED,399
1981,"Umbrella, Inc",OK,311
1982,"Acme, Inc",OK,868
1983,"Acme, Inc",CANCELED,789
1984,"Acme, Inc",OK,113
1985,"Umbrella, Inc",OK,719
1986,"Umbrella, Inc",WAITING,340
1987,"Acme, Inc",CANCELED,502
1988,"Umbrella, Inc",WAITING,318
1989,"Acme, Inc",CANCELED,339
1990,"Umbrella, Inc",CANCELED,902
1991,"Acme, Inc",CANCELED,372
1992,"Acme, Inc",WAITING,527
1993,"Umbrella, Inc",WAITING,477
1994,"Acme, Inc",OK,319
1995,"Acme, Inc",WAITING,337
1996,"Acme, Inc",WAITING,614
1997,"Umbrella, Inc",CANCELED,773
1998,"Umbrella, Inc",WAITING,475
1999,"Umbrella, Inc",CANCELED,141
2000,"Umbrella, Inc",WAITING,628
2001,"Umbrella, Inc",OK,840
2002,"Umbrella, Inc",CANCELED,286
2003,"Acme, Inc",CANCELED,137
2004,"Umbrella, Inc",WAITING,401
2005,"Acme, Inc",WAITING,757
2006,"Acme, Inc",CANCELED,233
2007,"Acme, Inc",CANCELED,478
2008,"Acme, Inc",OK,530
2009,"Umbrella, Inc",WAITING,281
2010,"Umbrella, Inc",WAITING,800
2011,"Acme, Inc",CANCELED,480
2012,"Umbrella, Inc",OK,879
2013,"Acme, Inc",WAITING,340
2014,"Acme, Inc",WAITING,116
2015,"Umbrella, Inc",CANCELED,410
2016,"Acme, Inc",WAITING,247
2017,"Acme, Inc",WAITING,164
2018,"Umbrella, Inc",WAITING,782
2019,"Umbrella, Inc",CANCELED,604
2020,"Umbrella, Inc",WAITING,574
2021,"Umbrella, Inc",WAITING,196
2022,"Acme, Inc",WAITING,794
2023,"Acme, Inc",CANCELED,283
2024,"Umbrella, Inc",WAITING,706
2025,"Acme, Inc",OK,731
2026,"Umbrella, Inc",CANCELED,346
2027,"Acme, Inc",OK,290
2028,"Umbrella, Inc",WAITING,513
2029,"Umbrella, Inc",WAITING,835
2030,"Acme, Inc",OK,978
2031,"Umbrella, Inc",WAITING,516
2032,"Acme, Inc",CANCELED,726
2033,"Acme, Inc",CANCELED,848
2034,"Umbrella, Inc",WAITING,986
2035,"Umbrella, Inc",WAITING,665
2036,"Umbrella, Inc",OK,676
2037,"Acme, Inc",CANCELED,559
2038,"Acme, Inc",OK,400
2039,"Umbrella, Inc",CANCELED,727
2040,"Acme, Inc",WAITING,719
2041,"Acme, Inc",CANCELED,117
2042,"Acme, Inc",WAITING,699
2043,"Acme, Inc",OK,887
2044,"Acme, Inc",WAITING,152
2045,"Umbrella, Inc",OK,735
2046,"Acme, Inc",CANCELED,275
2047,"Umbrella, Inc",OK,901
2048,"Acme, Inc",CANCELED,472
2049,"Acme, Inc",WAITING,999
2050,"Umbrella, Inc",CANCELED,536
2051,"Acme, Inc",CANCELED,276
2052,"Acme, Inc",OK,756
2053,"Umbrella, Inc",WAITING,509
2054,"Acme, Inc",OK,539
2055,"Acme, Inc",CANCELED,439
2056,"Acme, Inc",OK,641
2057,"Acme, Inc",CANCELED,359
2058,"Umbrella, Inc",CANCELED,846
2059,"Umbrella, Inc",OK,834
2060,"Acme, Inc",WAITING,847
2061,"Umbrella, Inc",WAITING,317
2062,"Umbrella, Inc",WAITING,461
2063,"Acme, Inc",CANCELED,587
2064,"Umbrella, Inc",CANCELED,829
2065,"Umbrella, Inc",CANCELED,226
2066,"Acme, Inc",OK,395
2067,"Umbrella, Inc",CANCELED,710
2068,"Acme, Inc",OK,482
2069,"Acme, Inc",CANCELED,537
2070,"Umbrella, Inc",OK,692
2071,"Acme, Inc",OK,142
2072,"Acme, Inc",WAITING,880
2073,"Acme, Inc",CANCELED,465
2074,"Umbrella, Inc",CANCELED,961
2075,"Umbrella, Inc",WAITING,635
2076,"Acme, Inc",OK,825
2077,"Umbrella, Inc",CANCELED,974
2078,"Acme, Inc",WAITING,586
2079,"Acme, Inc",OK,885
2080,"Umbrella, Inc",CANCELED,479
2081,"Umbrella, Inc",CANCELED,998
2082,"Umbrella, Inc",WAITING,427
2083,"Acme, Inc",OK,191
2084,"Umbrella, Inc",CANCELED,828
2085,"Acme, Inc",CANCELED,336
2086,"Acme, Inc",CANCELED,767
2087,"Umbrella, Inc",CANCELED,713
2088,"Acme, Inc",OK,166
2089,"Umbrella, Inc",OK,996
2090,"Umbrella, Inc",WAITING,783
2091,"Umbrella, Inc",WAITING,341
2092,"Umbrella, Inc",OK,505
2093,"Umbrella, Inc",OK,251
2094,"Umbrella, Inc",WAITING,792
2095,"Umbrella, Inc",OK,827
2096,"Acme, Inc",WAITING,554
2097,"Umbrella, Inc",OK,357
2098,"Acme, Inc",WAITING,689
2099,"Acme, Inc",OK,624
2100,"Acme, Inc",CANCELED,282
2101,"Umbrella, Inc",CANCELED,515
2102,"Umbrella, Inc",OK,594
2103,"Acme, Inc",WAITING,471
2104,"Acme, Inc",OK,141
2105,"Acme, Inc",WAITING,713
2106,"Umbrella, Inc",OK,789
2107,"Umbrella, Inc",OK,490
2108,"Acme, Inc",WAITING,777
2109,"Acme, Inc",CANCELED,999
2110,"Acme, Inc",WAITING,851
2111,"Acme, Inc",WAITING,178
2112,"Acme, Inc",OK,866
2113,"Umbrella, Inc",WAITING,516
2114,"Acme, Inc",WAITING,579
2115,"Umbrella, Inc",WAITING,137
2116,"Acme, Inc",OK,279
2117,"Acme, Inc",CANCELED,203
2118,"Acme, Inc",CANCELED,552
2119,"Acme, Inc",OK,463
2120,"Umbrella, Inc",WAITING,858
2121,"Umbrella, Inc",WAITING,630
2122,"Acme, Inc",WAITING,989
2123,"Acme, Inc",WAITING,579
2124,"Umbrella, Inc",OK,369
2125,"Acme, Inc",CANCELED,737
2126,"Acme, Inc",OK,774
2127,"Umbrella, Inc",CANCELED,341
2128,"Acme, Inc",WAITING,369
2129,"Umbrella, Inc",OK,781
2130,"Umbrella, Inc",CANCELED,911
2131,"Umbrella, Inc",WAITING,792
2132,"Acme, Inc",WAITING,234
2133,"Umbrella, Inc",WAITING,886
2134,"Acme, Inc",WAITING,947
2135,"Acme, Inc",CANCELED,336
2136,"Umbrella, Inc",WAITING,266
2137,"Umbrella, Inc",CANCELED,404
2138,"Umbrella, Inc",WAITING,372
2139,"Acme, Inc",WAITING,858
2140,"Umbrella, Inc",OK,640
2141,"Umbrella, Inc",WAITING,108
2142,"Acme, Inc",OK,463
2143,"Acme, Inc",OK,692
2144,"Umbrella, Inc",OK,154
2145,"Umbrella, Inc",WAITING,329
2146,"Acme, Inc",WAITING,268
2147,"Umbrella, Inc",WAITING,937
2148,"Acme, Inc",OK,565
2149,"Acme, Inc",WAITING,621
2150,"Acme, Inc",OK,689
2151,"Umbrella, Inc",CANCELED,500
2152,"Acme, Inc",OK,230
2153,"Acme, Inc",OK,836
2154,"Acme, Inc",CANCELED,932
2155,"Acme, Inc",WAITING,424
2156,"Acme, Inc",WAITING,116
2157,"Acme, Inc",WAITING,215
2158,"Umbrella, Inc",CANCELED,173
2159,"Acme, Inc",CANCELED,615
2160,"Umbrella, Inc",OK,734
2161,"Umbrella, Inc",OK,875
2162,"Acme, Inc",CANCELED,624
2163,"Acme, Inc",CANCELED,268
2164,"Umbrella, Inc",CANCELED,256
2165,"Umbrella, Inc",CANCELED,360
2166,"Acme, Inc",WAITING,352
2167,"Umbrella, Inc",WAITING,358
2168,"Acme, Inc",WAITING,402
2169,"Umbrella, Inc",CANCELED,166
2170,"Umbrella, Inc",WAITING,465
2171,"Umbrella, Inc",CANCELED,361
2172,"Acme, Inc",CANCELED,556
2173,"Acme, Inc",WAITING,683
2174,"Acme, Inc",CANCELED,139
2175,"Acme, Inc",WAITING,233
2176,"Umbrella, Inc",WAITING,242
2177,"Acme, Inc",WAITING,644
2178,"Umbrella, Inc",CANCELED,708
2179,"Umbrella, Inc",WAITING,154
2180,"Acme, Inc",OK,977
2181,"Acme, Inc",WAITING,164
2182,"Umbrella, Inc",WAITING,379
2183,"Acme, Inc",WAITING,623
2184,"Umbrella, Inc",CANCELED,554
2185,"Acme, Inc",CANCELED,591
2186,"Umbrella, Inc",WAITING,904
2187,"Umbrella, Inc",OK,734
2188,"Acme, Inc",CANCELED,820
2189,"Acme, Inc",OK,344
2190,"Umbrella, Inc",OK,850
2191,"Acme, Inc",WAITING,561
2192,"Umbrella, Inc",WAITING,303
2193,"Acme, Inc",OK,489
2194,"Acme, Inc",CANCELED,226
2195,"Acme, Inc",WAITING,596
2196,"Umbrella, Inc",OK,536
2197,"Acme, Inc",CANCELED,345
2198,"Acme, Inc",OK,766
2199,"Umbrella, Inc",WAITING,651
2200,"Umbrella, Inc",WAITING,192
2201,"Acme, Inc",CANCELED,152
2202,"Acme, Inc",CANCELED,126
2203,"Umbrella, Inc",CANCELED,412
2204,"Umbrella, Inc",WAITING,201
2205,"Acme, Inc",WAITING,777
2206,"Acme, Inc",CANCELED,629
2207,"Acme, Inc",CANCELED,363
2208,"Umbrella, Inc",WAITING,100
2209,"Acme, Inc",OK,915
2210,"Umbrella, Inc",OK,269
2211,"Acme, Inc",WAITING,637
2212,"Umbrella, Inc",CANCELED,912
2213,"Umbrella, Inc",OK,234
2214,"Acme, Inc",WAITING,155
2215,"Acme, Inc",OK,132
2216,"Umbrella, Inc",CANCELED,683
2217,"Acme, Inc",WAITING,245
2218,"Acme, Inc",OK,777
2219,"Acme, Inc",OK,421
2220,"Acme, Inc",CANCELED,800
2221,"Acme, Inc",WAITING,187
2222,"Umbrella, Inc",WAITING,862
2223,"Acme, Inc",OK,550
2224,"Umbrella, Inc",CANCELED,362
2225,"Acme, Inc",CANCELED,946
2226,"Umbrella, Inc",CANCELED,690
2227,"Umbrella, Inc",WAITING,179
2228,"Umbrella, Inc",OK,829
2229,"Umbrella, Inc",WAITING,256
2230,"Umbrella, Inc",OK,353
2231,"Umbrella, Inc",OK,986
2232,"Umbrella, Inc",CANCELED,411
2233,"Umbrella, Inc",OK,892
2234,"Acme, Inc",CANCELED,477
2235,"Umbrella, Inc",OK,143
2236,"Umbrella, Inc",CANCELED,902
2237,"Umbrella, Inc",WAITING,402
2238,"Acme, Inc",OK,496
2239,"Acme, Inc",OK,440
2240,"Umbrella, Inc",OK,155
2241,"Acme, Inc",OK,357
2242,"Umbrella, Inc",OK,426
2243,"Umbrella, Inc",WAITING,772
2244,"Acme, Inc",CANCELED,128
2245,"Umbrella, Inc",WAITING,884
2246,"Acme, Inc",WAITING,109
2247,"Acme, Inc",OK,297
2248,"Umbrella, Inc",CANCELED,445
2249,"Acme, Inc",CANCELED,860
2250,"Umbrella, Inc",WAITING,644
2251,"Acme, Inc",WAITING,800
2252,"Acme, Inc",OK,173
2253,"Umbrella, Inc",OK,678
2254,"Acme, Inc",CANCELED,478
2255,"Acme, Inc",OK,113
2256,"Acme, Inc",CANCELED,311
2257,"Acme, Inc",WAITING,766
2258,"Acme, Inc",OK,897
2259,"Acme, Inc",WAITING,197
2260,"Acme, Inc",CANCELED,290
2261,"Umbrella, Inc",OK,104
2262,"Acme, Inc",CANCELED,326
2263,"Acme, Inc",WAITING,311
2264,"Acme, Inc",WAITING,280
2265,"Acme, Inc",WAITING,907
2266,"Acme, Inc",WAITING,687
2267,"Acme, Inc",OK,626
2268,"Acme, Inc",OK,852
2269,"Umbrella, Inc",CANCELED,476
2270,"Umbrella, Inc",CANCELED,483
2271,"Acme, Inc",WAITING,737
2272,"Umbrella, Inc",OK,498
2273,"Acme, Inc",WAITING,131
2274,"Umbrella, Inc",CANCELED,663
2275,"Acme, Inc",CANCELED,114
2276,"Acme, Inc",WAITING,501
2277,"Umbrella, Inc",OK,515
2278,"Umbrella, Inc",WAITING,287
2279,"Umbrella, Inc",CANCELED,445
2280,"Umbrella, Inc",CANCELED,963
2281,"Umbrella, Inc",CANCELED,758
2282,"Umbrella, Inc",CANCELED,729
2283,"Umbrella, Inc",WAITING,787
2284,"Umbrella, Inc",OK,373
2285,"Umbrella, Inc",CANCELED,464
2286,"Acme, Inc",WAITING,838
2287,"Umbrella, Inc",CANCELED,936
2288,"Acme, Inc",OK,606
2289,"Acme, Inc",CANCELED,142
2290,"Umbrella, Inc",WAITING,584
2291,"Umbrella, Inc",OK,386
2292,"Umbrella, Inc",WAITING,846
2293,"Umbrella, Inc",OK,975
2294,"Umbrella, Inc",OK,714
2295,"Umbrella, Inc",CANCELED,848
2296,"Umbrella, Inc",OK,934
2297,"Acme, Inc",WAITING,783
2298,"Umbrella, Inc",WAITING,938
2299,"Acme, Inc",OK,571
2300,"Umbrella, Inc",CANCELED,340
2301,"Acme, Inc",CANCELED,909
2302,"Acme, Inc",CANCELED,518
2303,"Acme, Inc",OK,401
2304,"Acme, Inc",WAITING,872
2305,"Umbrella, Inc",WAITING,265
2306,"Acme, Inc",WAITING,371
2307,"Umbrella, Inc",CANCELED,795
2308,"Umbrella, Inc",OK,629
2309,"Umbrella, Inc",OK,148
2310,"Umbrella, Inc",WAITING,689
2311,"Umbrella, Inc",OK,544
2312,"Umbrella, Inc",WAITING,125
2313,"Umbrella, Inc",OK,931
2314,"Acme, Inc",OK,649
2315,"Umbrella, Inc",WAITING,382
2316,"Acme, Inc",CANCELED,210
2317,"Acme, Inc",CANCELED,802
2318,"Umbrella, Inc",WAITING,874
2319,"Acme, Inc",OK,418
2320,"Acme, Inc",CANCELED,176
2321,"Umbrella, Inc",CANCELED,138
2322,"Acme, Inc",CANCELED,492
2323,"Umbrella, Inc",WAITING,909
2324,"Umbrella, Inc",OK,993
2325,"Acme, Inc",OK,172
2326,"Umbrella, Inc",WAITING,841
2327,"Umbrella, Inc",WAITING,650
2328,"Acme, Inc",WAITING,920
2329,"Umbrella, Inc",OK,178
2330,"Acme, Inc",OK,176
2331,"Acme, Inc",OK,968
2332,"Acme, Inc",OK,613
2333,"Acme, Inc",WAITING,636
2334,"Umbrella, Inc",WAITING,198
2335,"Acme, Inc",WAITING,879
2336,"Acme, Inc",CANCELED,240
2337,"Acme, Inc",OK,859
2338,"Umbrella, Inc",WAITING,806
2339,"Acme, Inc",OK,734
2340,"Umbrella, Inc",OK,717
2341,"Umbrella, Inc",CANCELED,531
2342,"Acme, Inc",OK,666
2343,"Acme, Inc",CANCELED,592
2344,"Acme, Inc",CANCELED,442
2345,"Umbrella, Inc",CANCELED,907
2346,"Acme, Inc",WAITING,492
2347,"Acme, Inc",OK,527
2348,"Acme, Inc",OK,321
2349,"Umbrella, Inc",CANCELED,711
2350,"Acme, Inc",CANCELED,313
2351,"Acme, Inc",WAITING,459
2352,"Umbrella, Inc",WAITING,758
2353,"Umbrella, Inc",WAITING,876
2354,"Umbrella, Inc",CANCELED,534
2355,"Acme, Inc",CANCELED,871
2356,"Umbrella, Inc",CANCELED,578
2357,"Acme, Inc",CANCELED,972
2358,"Umbrella, Inc",WAITING,743
2359,"Acme, Inc",WAITING,740
2360,"Umbrella, Inc",OK,469
2361,"Acme, Inc",WAITING,143
2362,"Umbrella, Inc",OK,749
2363,"Acme, Inc",CANCELED,281
2364,"Acme, Inc",WAITING,478
2365,"Umbrella, Inc",CANCELED,320
2366,"Acme, Inc",WAITING,705
2367,"Acme, Inc",WAITING,169
2368,"Acme, Inc",OK,902
2369,"Acme, Inc",OK,956
2370,"Acme, Inc",OK,820
2371,"Acme, Inc",CANCELED,841
2372,"Acme, Inc",WAITING,510
2373,"Acme, Inc",CANCELED,635
2374,"Umbrella, Inc",CANCELED,405
2375,"Umbrella, Inc",OK,200
2376,"Acme, Inc",OK,761
2377,"Acme, Inc",CANCELED,260
2378,"Acme, Inc",OK,372
2379,"Acme, Inc",OK,841
2380,"Acme, Inc",CANCELED,665
2381,"Umbrella, Inc",OK,211
2382,"Umbrella, Inc",OK,682
2383,"Umbrella, Inc",CANCELED,940
2384,"Acme, Inc",OK,794
2385,"Acme, Inc",OK,983
2386,"Acme, Inc",WAITING,559
2387,"Acme, Inc",WAITING,726
2388,"Umbrella, Inc",WAITING,378
2389,"Acme, Inc",OK,800
2390,"Acme, Inc",CANCELED,784
2391,"Umbrella, Inc",OK,532
2392,"Acme, Inc",OK,903
2393,"Acme, Inc",CANCELED,292
2394,"Acme, Inc",CANCELED,285
2395,"Acme, Inc",CANCELED,800
2396,"Umbrella, Inc",WAITING,351
2397,"Umbrella, Inc",CANCELED,402
2398,"Acme, Inc",CANCELED,338
2399,"Acme, Inc",CANCELED,399
2400,"Umbrella, Inc",OK,361
2401,"Umbrella, Inc",CANCELED,882
2402,"Umbrella, Inc",OK,973
2403,"Acme, Inc",OK,656
2404,"Acme, Inc",CANCELED,915
2405,"Umbrella, Inc",OK,559
2406,"Acme, Inc",WAITING,780
2407,"Umbrella, Inc",OK,117
2408,"Acme, Inc",WAITING,883
2409,"Umbrella, Inc",OK,554
2410,"Acme, Inc",WAITING,295
2411,"Acme, Inc",WAITING,678
2412,"Umbrella, Inc",OK,639
2413,"Acme, Inc",CANCELED,745
2414,"Acme, Inc",OK,655
2415,"Umbrella, Inc",CANCELED,919
2416,"Acme, Inc",WAITING,792
2417,"Umbrella, Inc",OK,808
2418,"Umbrella, Inc",OK,293
2419,"Umbrella, Inc",CANCELED,403
2420,"Umbrella, Inc",CANCELED,953
2421,"Acme, Inc",WAITING,435
2422,"Acme, Inc",OK,264
2423,"Umbrella, Inc",OK,619
2424,"Acme, Inc",CANCELED,434
2425,"Acme, Inc",OK,816
2426,"Umbrella, Inc",WAITING,789
2427,"Umbrella, Inc",WAITING,890
2428,"Acme, Inc",WAITING,201
2429,"Umbrella, Inc",OK,652
2430,"Umbrella, Inc",CANCELED,761
2431,"Umbrella, Inc",CANCELED,906
2432,"Acme, Inc",OK,146
2433,"Umbrella, Inc",OK,807
2434,"Umbrella, Inc",WAITING,592
2435,"Acme, Inc",OK,529
2436,"Acme, Inc",CANCELED,629
2437,"Acme, Inc",WAITING,741
2438,"Umbrella, Inc",WAITING,904
2439,"Umbrella, Inc",OK,449
2440,"Acme, Inc",WAITING,530
2441,"Acme, Inc",OK,852
2442,"Umbrella, Inc",WAITING,235
2443,"Umbrella, Inc",CANCELED,640
2444,"Acme, Inc",WAITING,226
2445,"Umbrella, Inc",WAITING,500
2446,"Umbrella, Inc",WAITING,825
2447,"Acme, Inc",OK,932
2448,"Acme, Inc",CANCELED,620
2449,"Acme, Inc",OK,475
2450,"Umbrella, Inc",OK,920
2451,"Umbrella, Inc",WAITING,279
2452,"Umbrella, Inc",CANCELED,251
2453,"Acme, Inc",WAITING,963
2454,"Acme, Inc",OK,350
2455,"Umbrella, Inc",OK,839
2456,"Acme, Inc",WAITING,483
2457,"Acme, Inc",WAITING,378
2458,"Acme, Inc",WAITING,702
2459,"Umbrella, Inc",OK,125
2460,"Umbrella, Inc",CANCELED,135
2461,"Umbrella, Inc",WAITING,559
2462,"Acme, Inc",WAITING,294
2463,"Acme, Inc",OK,122
2464,"Acme, Inc",OK,529
2465,"Acme, Inc",WAITING,839
2466,"Umbrella, Inc",OK,349
2467,"Umbrella, Inc",OK,623
2468,"Acme, Inc",CANCELED,714
2469,"Umbrella, Inc",CANCELED,135
2470,"Acme, Inc",OK,696
2471,"Umbrella, Inc",OK,565
2472,"Acme, Inc",CANCELED,778
2473,"Umbrella, Inc",OK,624
2474,"Acme, Inc",WAITING,905
2475,"Acme, Inc",OK,299
2476,"Umbrella, Inc",WAITING,953
2477,"Acme, Inc",OK,963
2478,"Umbrella, Inc",WAITING,807
2479,"Acme, Inc",WAITING,574
2480,"Umbrella, Inc",OK,905
2481,"Acme, Inc",WAITING,400
2482,"Acme, Inc",WAITING,636
2483,"Acme, Inc",WAITING,136
2484,"Acme, Inc",WAITING,259
2485,"Umbrella, Inc",OK,882
2486,"Acme, Inc",WAITING,155
2487,"Umbrella, Inc",OK,265
2488,"Umbrella, Inc",WAITING,367
2489,"Umbrella, Inc",CANCELED,392
2490,"Acme, Inc",OK,254
2491,"Umbrella, Inc",WAITING,947
2492,"Acme, Inc",CANCELED,997
2493,"Acme, Inc",WAITING,466
2494,"Umbrella, Inc",OK,204
2495,"Umbrella, Inc",OK,265
2496,"Umbrella, Inc",OK,443
2497,"Umbrella, Inc",WAITING,631
2498,"Acme, Inc",WAITING,457
2499,"Umbrella, Inc",CANCELED,182
2500,"Umbrella, Inc",CANCELED,769
2501,"Acme, Inc",CANCELED,858
2502,"Acme, Inc",OK,273
2503,"Acme, Inc",OK,434
2504,"Umbrella, Inc",WAITING,457
2505,"Umbrella, Inc",OK,443
2506,"Acme, Inc",OK,457
2507,"Umbrella, Inc",WAITING,713
2508,"Umbrella, Inc",WAITING,936
2509,"Umbrella, Inc",CANCELED,138
2510,"Acme, Inc",CANCELED,588
2511,"Acme, Inc",OK,163
2512,"Umbrella, Inc",WAITING,576
2513,"Umbrella, Inc",WAITING,749
2514,"Umbrella, Inc",WAITING,941
2515,"Umbrella, Inc",WAITING,363
2516,"Acme, Inc",OK,831
2517,"Acme, Inc",WAITING,892
2518,"Umbrella, Inc",OK,705
2519,"Acme, Inc",OK,546
2520,"Acme, Inc",CANCELED,428
2521,"Acme, Inc",WAITING,170
2522,"Acme, Inc",OK,895
2523,"Acme, Inc",WAITING,425
2524,"Umbrella, Inc",OK,914
2525,"Umbrella, Inc",WAITING,389
2526,"Acme, Inc",CANCELED,802
2527,"Acme, Inc",OK,599
2528,"Umbrella, Inc",CANCELED,860
2529,"Acme, Inc",OK,713
2530,"Umbrella, Inc",OK,187
2531,"Acme, Inc",OK,178
2532,"Umbrella, Inc",CANCELED,816
2533,"Umbrella, Inc",OK,194
2534,"Umbrella, Inc",WAITING,820
2535,"Acme, Inc",WAITING,651
2536,"Umbrella, Inc",CANCELED,422
2537,"Acme, Inc",CANCELED,514
2538,"Acme, Inc",WAITING,324
2539,"Acme, Inc",WAITING,946
2540,"Umbrella, Inc",OK,911
2541,"Umbrella, Inc",CANCELED,541
2542,"Umbrella, Inc",CANCELED,968
2543,"Acme, Inc",OK,244
2544,"Acme, Inc",OK,375
2545,"Acme, Inc",OK,489
2546,"Umbrella, Inc",CANCELED,350
2547,"Acme, Inc",OK,852
2548,"Umbrella, Inc",OK,523
2549,"Umbrella, Inc",WAITING,717
2550,"Umbrella, Inc",CANCELED,772
2551,"Umbrella, Inc",WAITING,614
2552,"Acme, Inc",CANCELED,692
2553,"Umbrella, Inc",OK,225
2554,"Umbrella, Inc",CANCELED,251
2555,"Umbrella, Inc",CANCELED,541
2556,"Acme, Inc",OK,778
2557,"Acme, Inc",WAITING,173
2558,"Umbrella, Inc",CANCELED,777
2559,"Acme, Inc",CANCELED,809
2560,"Umbrella, Inc",CANCELED,588
2561,"Acme, Inc",OK,584
2562,"Acme, Inc",OK,282
2563,"Umbrella, Inc",CANCELED,383
2564,"Acme, Inc",CANCELED,660
2565,"Umbrella, Inc",WAITING,985
2566,"Acme, Inc",WAITING,672
2567,"Acme, Inc",OK,797
2568,"Acme, Inc",CANCELED,213
2569,"Umbrella, Inc",OK,302
2570,"Acme, Inc",CANCELED,519
2571,"Acme, Inc",OK,153
2572,"Acme, Inc",WAITING,629
2573,"Umbrella, Inc",CANCELED,882
2574,"Acme, Inc",CANCELED,660
2575,"Umbrella, Inc",OK,939
2576,"Acme, Inc",WAITING,817
2577,"Umbrella, Inc",WAITING,832
2578,"Umbrella, Inc",OK,753
2579,"Umbrella, Inc",OK,434
2580,"Umbrella, Inc",CANCELED,688
2581,"Umbrella, Inc",WAITING,316
2582,"Acme, Inc",WAITING,779
2583,"Acme, Inc",WAITING,227
2584,"Acme, Inc",WAITING,200
2585,"Umbrella, Inc",WAITING,659
2586,"Umbrella, Inc",WAITING,671
2587,"Umbrella, Inc",WAITING,737
2588,"Umbrella, Inc",OK,279
2589,"Acme, Inc",OK,672
2590,"Umbrella, Inc",WAITING,564
2591,"Umbrella, Inc",OK,239
2592,"Acme, Inc",OK,855
2593,"Umbrella, Inc",OK,295
2594,"Umbrella, Inc",OK,960
2595,"Acme, Inc",WAITING,969
2596,"Acme, Inc",WAITING,247
2597,"Umbrella, Inc",OK,470
2598,"Acme, Inc",CANCELED,612
2599,"Umbrella, Inc",WAITING,927
2600,"Acme, Inc",OK,978
2601,"Acme, Inc",OK,793
2602,"Umbrella, Inc",CANCELED,995
2603,"Umbrella, Inc",OK,952
2604,"Umbrella, Inc",OK,211
2605,"Umbrella, Inc",CANCELED,336
2606,"Acme, Inc",OK,447
2607,"Acme, Inc",OK,203
2608,"Umbrella, Inc",WAITING,661
2609,"Acme, Inc",CANCELED,396
2610,"Umbrella, Inc",WAITING,483
2611,"Umbrella, Inc",WAITING,203
2612,"Acme, Inc",WAITING,757
2613,"Umbrella, Inc",WAITING,583
2614,"Acme, Inc",CANCELED,656
2615,"Acme, Inc",OK,736
2616,"Acme, Inc",CANCELED,761
2617,"Acme, Inc",OK,810
2618,"Acme, Inc",WAITING,728
2619,"Acme, Inc",CANCELED,940
2620,"Umbrella, Inc",OK,390
2621,"Acme, Inc",CANCELED,375
2622,"Acme, Inc",OK,809
2623,"Umbrella, Inc",OK,998
2624,"Acme, Inc",OK,303
2625,"Acme, Inc",OK,602
2626,"Acme, Inc",CANCELED,216
2627,"Acme, Inc",OK,394
2628,"Umbrella, Inc",OK,703
2629,"Umbrella, Inc",CANCELED,835
2630,"Acme, Inc",OK,322
2631,"Acme, Inc",OK,319
2632,"Acme, Inc",WAITING,648
